Date,Open,High,Low,Close,Adj Close,Volume
2021-08-13,14825.070313,14850.610352,14797.219727,14822.900391,14822.900391,4061070000
2021-08-16,14771.530273,14794.679688,14610.019531,14793.759766,14793.759766,3973920000
2021-08-17,14670.559570,14716.950195,14550.879883,14656.179688,14656.179688,4168880000
2021-08-18,14636.240234,14697.250000,14516.299805,14525.910156,14525.910156,3841840000
2021-08-19,14423.160156,14610.759766,14423.160156,14541.790039,14541.790039,4191490000
2021-08-20,14571.530273,14722.160156,14571.530273,14714.660156,14714.660156,3886340000
2021-08-23,14776.980469,14963.469727,14776.980469,14942.650391,14942.650391,3906780000
2021-08-24,14978.139648,15034.889648,14965.540039,15019.799805,15019.799805,3809750000
2021-08-25,15039.030273,15059.429688,15011.580078,15041.860352,15041.860352,3654150000
2021-08-26,15025.169922,15059.629883,14939.559570,14945.809570,14945.809570,3630900000
2021-08-27,14969.769531,15144.480469,14966.519531,15129.500000,15129.500000,4048610000
2021-08-30,15165.940430,15288.080078,15165.120117,15265.889648,15265.889648,4061760000
2021-08-31,15262.879883,15278.959961,15202.669922,15259.240234,15259.240234,4188020000
2021-09-01,15308.980469,15379.500000,15302.110352,15309.379883,15309.379883,4271690000
2021-09-02,15358.469727,15380.070313,15285.349609,15331.179688,15331.179688,4050510000
2021-09-03,15313.410156,15375.559570,15283.669922,15363.519531,15363.519531,3706990000
2021-09-07,15375.980469,15403.440430,15343.280273,15374.330078,15374.330078,4014250000
2021-09-08,15360.349609,15360.349609,15206.610352,15286.639648,15286.639648,4131560000
2021-09-09,15296.059570,15352.379883,15245.169922,15248.250000,15248.250000,4031140000
2021-09-10,15332.919922,15349.469727,15111.309570,15115.490234,15115.490234,4587150000
2021-09-13,15211.429688,15215.440430,15030.849609,15105.580078,15105.580078,4723370000
2021-09-14,15168.450195,15181.190430,15008.299805,15037.759766,15037.759766,4593140000
2021-09-15,15071.339844,15174.379883,14984.679688,15161.530273,15161.530273,4465140000
2021-09-16,15120.089844,15205.500000,15047.139648,15181.919922,15181.919922,3701500000
2021-09-17,15163.360352,15166.559570,14998.730469,15043.969727,15043.969727,6709540000
2021-09-20,14758.139648,14841.820313,14530.070313,14713.900391,14713.900391,4879490000
2021-09-21,14803.360352,14847.030273,14696.469727,14746.400391,14746.400391,4083010000
2021-09-22,14800.589844,14950.120117,14767.009766,14896.849609,14896.849609,4252490000
2021-09-23,14960.000000,15085.440430,14932.509766,15052.240234,15052.240234,4196130000
2021-09-24,14961.610352,15067.559570,14946.570313,15047.700195,15047.700195,3992150000
2021-09-27,14954.179688,15003.160156,14864.959961,14969.969727,14969.969727,4650790000
2021-09-28,14787.209961,14817.740234,14539.879883,14546.679688,14546.679688,4989510000
2021-09-29,14614.879883,14676.620117,14493.669922,14512.440430,14512.440430,5294600000
2021-09-30,14582.599609,14632.360352,14444.299805,14448.580078,14448.580078,5950950000
2021-10-01,14494.929688,14606.820313,14324.009766,14566.700195,14566.700195,4710720000
2021-10-04,14493.120117,14499.740234,14181.690430,14255.480469,14255.480469,4557110000
2021-10-05,14312.860352,14508.650391,14299.780273,14433.830078,14433.830078,4176390000
2021-10-06,14289.450195,14509.549805,14259.070313,14501.910156,14501.910156,4465910000
2021-10-07,14631.799805,14755.719727,14615.139648,14654.019531,14654.019531,3984180000
2021-10-08,14694.719727,14699.910156,14569.679688,14579.540039,14579.540039,3571380000
2021-10-11,14540.080078,14665.990234,14482.620117,14486.200195,14486.200195,3539540000
2021-10-12,14539.089844,14552.709961,14441.599609,14465.919922,14465.919922,4063830000
2021-10-13,14537.169922,14589.280273,14471.879883,14571.639648,14571.639648,4053580000
2021-10-14,14717.500000,14827.559570,14699.519531,14823.429688,14823.429688,4262400000
2021-10-15,14891.240234,14904.980469,14847.959961,14897.339844,14897.339844,4494440000
2021-10-18,14839.740234,15026.679688,14833.280273,15021.809570,15021.809570,4167740000
2021-10-19,15073.129883,15137.849609,15049.730469,15129.089844,15129.089844,4483400000
2021-10-20,15160.000000,15178.389648,15071.150391,15121.679688,15121.679688,4117050000
2021-10-21,15104.799805,15222.250000,15094.139648,15215.700195,15215.700195,4961860000
2021-10-22,15158.070313,15193.009766,15021.019531,15090.200195,15090.200195,5775770000
2021-10-25,15142.919922,15259.629883,15070.750000,15226.709961,15226.709961,5750200000
2021-10-26,15317.500000,15384.000000,15198.230469,15235.709961,15235.709961,7173230000
2021-10-27,15276.000000,15364.540039,15235.839844,15235.839844,15235.839844,6130110000
2021-10-28,15304.740234,15452.299805,15290.309570,15448.120117,15448.120117,5714890000
2021-10-29,15323.290039,15504.120117,15323.290039,15498.389648,15498.389648,5338290000
2021-11-01,15541.259766,15598.950195,15470.820313,15595.919922,15595.919922,5273950000
2021-11-02,15583.980469,15656.599609,15569.269531,15649.599609,15649.599609,5129370000
2021-11-03,15658.519531,15821.570313,15616.440430,15811.580078,15811.580078,5325110000
2021-11-04,15849.740234,15966.089844,15827.660156,15940.309570,15940.309570,5297250000
2021-11-05,16003.559570,16053.389648,15900.780273,15971.589844,15971.589844,5566400000
2021-11-08,15995.719727,16038.230469,15961.809570,15982.360352,15982.360352,5723650000
2021-11-09,16024.129883,16035.209961,15836.679688,15886.540039,15886.540039,5574660000
2021-11-10,15753.839844,15867.240234,15543.679688,15622.709961,15622.709961,5369110000
2021-11-11,15752.080078,15768.030273,15695.769531,15704.280273,15704.280273,4570460000
2021-11-12,15752.620117,15874.570313,15705.379883,15860.959961,15860.959961,5446540000
2021-11-15,15894.820313,15918.450195,15778.309570,15853.849609,15853.849609,5020180000
2021-11-16,15840.320313,15989.610352,15825.000000,15973.860352,15973.860352,5533020000
2021-11-17,15973.620117,15998.570313,15909.389648,15921.570313,15921.570313,5049320000
2021-11-18,15973.389648,16010.879883,15848.830078,15993.709961,15993.709961,5391360000
2021-11-19,16042.160156,16121.120117,16017.230469,16057.440430,16057.440430,4875310000
2021-11-22,16120.919922,16212.230469,15851.040039,15854.759766,15854.759766,5567830000
2021-11-23,15809.500000,15895.860352,15601.459961,15775.139648,15775.139648,5434380000
2021-11-24,15677.879883,15848.559570,15591.360352,15845.230469,15845.230469,4197090000
2021-11-26,15664.379883,15731.540039,15456.089844,15491.660156,15491.660156,3502170000
2021-11-29,15719.419922,15833.110352,15644.610352,15782.830078,15782.830078,4836230000
2021-11-30,15716.500000,15828.200195,15451.389648,15537.690430,15537.690430,6631470000
2021-12-01,15752.269531,15816.820313,15243.929688,15254.049805,15254.049805,6320260000
2021-12-02,15181.820313,15444.540039,15150.120117,15381.320313,15381.320313,5418340000
2021-12-03,15428.709961,15470.360352,14931.059570,15085.469727,15085.469727,5900290000
2021-12-06,15117.629883,15281.990234,14931.610352,15225.150391,15225.150391,5115230000
2021-12-07,15510.910156,15720.089844,15507.660156,15686.919922,15686.919922,5116490000
2021-12-08,15690.650391,15792.639648,15618.879883,15786.990234,15786.990234,4615390000
2021-12-09,15720.540039,15796.049805,15511.120117,15517.370117,15517.370117,4515600000
2021-12-10,15629.589844,15677.599609,15477.849609,15630.599609,15630.599609,4426210000
2021-12-13,15621.269531,15637.059570,15408.250000,15413.280273,15413.280273,4573920000
2021-12-14,15215.959961,15317.549805,15097.349609,15237.639648,15237.639648,4865990000
2021-12-15,15230.709961,15575.759766,15055.230469,15565.580078,15565.580078,5343920000
2021-12-16,15629.080078,15633.190430,15119.490234,15180.429688,15180.429688,4906480000
2021-12-17,15036.769531,15288.780273,14960.370117,15169.679688,15169.679688,7668770000
2021-12-20,14933.000000,15007.299805,14860.040039,14980.940430,14980.940430,4602640000
2021-12-21,15140.429688,15349.059570,15015.030273,15341.089844,15341.089844,4581720000
2021-12-22,15319.160156,15525.969727,15303.059570,15521.889648,15521.889648,4107900000
2021-12-23,15544.790039,15697.980469,15528.910156,15653.370117,15653.370117,3935010000
2021-12-27,15696.830078,15871.400391,15696.830078,15871.259766,15871.259766,3743920000
2021-12-28,15895.200195,15901.469727,15757.070313,15781.719727,15781.719727,3648500000
2021-12-29,15794.919922,15821.809570,15679.849609,15766.219727,15766.219727,3714380000
2021-12-30,15758.980469,15868.089844,15729.160156,15741.559570,15741.559570,3750920000
2021-12-31,15722.910156,15777.429688,15643.940430,15644.969727,15644.969727,3392580000
2022-01-03,15732.500000,15832.799805,15644.089844,15832.799805,15832.799805,4429960000
2022-01-04,15852.139648,15852.139648,15512.410156,15622.719727,15622.719727,5131110000
2022-01-05,15547.160156,15586.299805,15095.179688,15100.169922,15100.169922,5031850000
